"Коэффициент заполнения ШИМ","Теоретическое напряжение","Реальное напряжение"
0,0,0
0.001,0.02,1.06
0.002,0.04,1.64
0.003,0.06,1.76
0.004,0.08,1.87
0.005,0.1,1.98
0.006,0.12,2.06
0.007,0.14,2.15
0.008,0.16,2.24
0.009,0.18,2.32
0.01,0.2,2.4
0.011,0.22,2.48
0.012,0.24,2.55
0.013,0.26,2.63
0.014,0.28,2.7
0.015,0.3,2.77
0.016,0.32,2.84
0.017,0.34,2.91
0.018,0.36,2.98
0.019,0.38,3.05
0.02,0.4,3.12
0.021,0.42,3.22
0.022,0.44,3.28
0.023,0.46,3.35
0.024,0.48,3.42
0.025,0.5,3.49
0.026,0.52,3.56
0.027,0.54,3.62
0.028,0.56,3.69
0.029,0.58,3.76
0.03,0.6,3.82
0.031,0.62,3.89
0.032,0.64,3.96
0.033,0.66,4.02
0.034,0.68,4.08
0.035,0.7,4.15
0.036,0.72,4.21
0.037,0.74,4.27
0.038,0.76,4.33
0.039,0.78,4.39
0.04,0.8,4.45
0.041,0.82,4.5
0.042,0.84,4.56
0.043,0.86,4.61
0.044,0.88,4.67
0.045,0.9,4.72
0.046,0.92,4.78
0.047,0.94,4.83
0.048,0.96,4.88
0.049,0.98,4.93
0.05,1,4.97
0.051,1.02,5.01
0.052,1.04,5.07
0.053,1.06,5.12
0.054,1.08,5.16
0.055,1.1,5.21
0.056,1.12,5.25
0.057,1.14,5.3
0.058,1.16,5.34
0.059,1.18,5.39
0.06,1.2,5.43
0.061,1.22,5.47
0.062,1.24,5.52
0.063,1.26,5.56
0.064,1.28,5.6
0.065,1.3,5.65
0.066,1.32,5.69
0.067,1.34,5.74
0.068,1.36,5.78
0.069,1.38,5.69
0.07,1.4,5.87
0.071,1.42,5.91
0.072,1.44,5.97
0.073,1.46,6.01
0.074,1.48,6.06
0.075,1.5,6.11
0.076,1.52,6.11
0.077,1.54,6.21
0.078,1.56,6.26
0.079,1.58,6.32
0.08,1.6,6.37
0.081,1.62,6.42
0.082,1.64,6.48
0.083,1.66,6.53
0.084,1.68,6.59
0.085,1.7,6.64
0.086,1.72,6.69
0.087,1.74,6.75
0.088,1.76,6.81
0.089,1.78,6.87
0.09,1.8,6.93
0.091,1.82,6.99
0.092,1.84,7.05
0.093,1.86,7.1
0.094,1.88,7.16
0.095,1.9,7.22
0.096,1.92,7.27
0.097,1.94,7.33
0.098,1.96,7.38
0.099,1.98,7.44
0.1,2,7.49
0.101,2.02,7.54
0.102,2.04,7.58
0.103,2.06,7.64
0.104,2.08,7.69
0.105,2.1,7.73
0.106,2.12,7.78
0.107,2.14,7.82
0.108,2.16,7.87
0.109,2.18,7.91
0.11,2.2,7.95
0.111,2.22,7.99
0.112,2.24,8.03
0.113,2.26,8.06
0.114,2.28,8.1
0.115,2.3,8.13
0.116,2.32,8.17
0.117,2.34,8.2
0.118,2.36,8.24
0.119,2.38,8.27
0.12,2.4,8.3
0.121,2.42,8.33
0.122,2.44,8.37
0.123,2.46,8.4
0.124,2.48,8.43
0.125,2.5,8.46
0.126,2.52,8.49
0.127,2.54,8.52
0.128,2.56,8.55
0.129,2.58,8.58
0.13,2.6,8.61
0.131,2.62,8.65
0.132,2.64,8.68
0.133,2.66,8.71
0.134,2.68,8.74
0.135,2.7,8.77
0.136,2.72,8.81
0.137,2.74,8.84
0.138,2.76,8.88
0.139,2.78,8.91
0.14,2.8,8.95
0.141,2.82,8.98
0.142,2.84,9.02
0.143,2.86,9.05
0.144,2.88,9.1
0.145,2.9,9.14
0.146,2.92,9.18
0.147,2.94,9.22
0.148,2.96,9.26
0.149,2.98,9.3
0.15,3,9.35
0.151,3.02,9.39
0.152,3.04,9.44
0.153,3.06,9.48
0.154,3.08,9.53
0.155,3.1,9.58
0.156,3.12,9.62
0.157,3.14,9.67
0.158,3.16,9.72
0.159,3.18,9.76
0.16,3.2,9.81
0.161,3.22,9.86
0.162,3.24,9.9
0.163,3.26,9.95
0.164,3.28,10
0.165,3.3,10.04
0.166,3.32,10.08
0.167,3.34,10.12
0.168,3.36,10.16
0.169,3.38,10.2
0.17,3.4,10.24
0.171,3.42,10.24
0.172,3.44,10.31
0.173,3.46,10.35
0.174,3.48,10.38
0.175,3.5,10.42
0.176,3.52,10.45
0.177,3.54,10.48
0.178,3.56,10.51
0.179,3.58,10.54
0.18,3.6,10.57
0.181,3.62,10.6
0.182,3.64,10.62
0.183,3.66,10.65
0.184,3.68,10.67
0.185,3.7,10.7
0.186,3.72,10.72
0.187,3.74,10.74
0.188,3.76,10.77
0.189,3.78,10.79
0.19,3.8,10.81
0.191,3.82,10.83
0.192,3.84,10.85
0.193,3.86,10.88
0.194,3.88,10.89
0.195,3.9,10.91
0.196,3.92,10.93
0.197,3.94,10.96
0.198,3.96,10.98
0.199,3.98,11
0.2,4,11.02
0.201,4.02,11.03
0.202,4.04,11.06
0.203,4.06,11.08
0.204,4.08,11.1
0.205,4.1,11.13
0.206,4.12,11.15
0.207,4.14,11.17
0.208,4.16,11.2
0.209,4.18,11.22
0.21,4.2,11.25
0.211,4.22,11.27
0.212,4.24,11.3
0.213,4.26,11.33
0.214,4.28,11.36
0.215,4.3,11.38
0.216,4.32,11.42
0.217,4.34,11.45
0.218,4.36,11.48
0.219,4.38,11.51
0.22,4.4,11.55
0.221,4.42,11.58
0.222,4.44,11.61
0.223,4.46,11.65
0.224,4.48,11.68
0.225,4.5,11.72
0.226,4.52,11.76
0.227,4.54,11.8
0.228,4.56,11.84
0.229,4.58,11.88
0.23,4.6,11.91
0.231,4.62,11.95
0.232,4.64,11.99
0.233,4.66,12.03
0.234,4.68,12.07
0.235,4.7,12.1
0.236,4.72,12.14
0.237,4.74,12.18
0.238,4.76,12.21
0.239,4.78,12.24
0.24,4.8,12.28
0.241,4.82,12.31
